dataset,cell_line,#_fusions_predicted,fusion_pred_list
gdsc,ZR-75-30,55,"['DDX5--DEPTOR', 'USP32--CWC25', 'TAOK1--PCGF2', 'DDX5--AP005717.2', 'PRKDC--AC111149.2', 'DDX5--AP005717.2', 'BCAS3--HOXB9', 'MYO18A--AF228727.1', 'MYO18A--AF228727.1', 'PLEC--ENPP2', 'PPM1D--TRAPPC9', 'SRCIN1--AC233699.1', 'SRCIN1--AC233699.1', 'DDX5--AC233699.1', 'TRPS1--LASP1', 'SRCIN1--AC233699.1', 'TAOK1--LINC02071', 'AC068025.2--PCGF2', 'HYLS1--TIMM23', 'TAOK1--LINC02071', 'TAOK1--LINC02071', 'TAOK1--LINC02071', 'NFE2L1--TOP1MT', 'ZFPM2-AS1--SLC13A2', 'PDP2--AC124319.1', 'PPP1R16A--ZFPM2-AS1', 'PPM1D--RAD54B', 'PGAP3--CCN3', 'PCGF2--ZNF652', 'HOXC6--AC023794.1', 'AC124319.1--TACC1', 'BCAS3--TMEM71', 'PDP2--AC124319.1', 'CENPO--RAB10', 'PFKFB3--LINC02649', 'AC124319.1--TACC1', 'PPP1R16A--ZFPM2-AS1', 'USP32--SMURF2', 'NFE2L1--TOP1MT', 'PHF20L1--AC068413.1', 'ZMYM4--OPRD1', 'BCAS3--COL14A1', 'NFE2L1--TOP1MT', 'PPM1D--RAD54B', 'BCAS3--HOXB8', 'BCAS3--TMEM71', 'PPM1D--RAD54B', 'NFE2L1--TOP1MT', 'ERBB2--BCAS3', 'ZNF652--NDRG1', 'AC124319.1--TACC1', 'FSIP1--AC013652.1', 'ZFPM2-AS1--SLC13A2', 'PCGF2--ZNF652', 'ZNF652--NDRG1']"
gdsc,SR,3,"['NPM1--ALK', 'CBWD2--NPM1P27', 'CIRBP-AS1--SBNO2']"
gdsc,SW1573,25,"['NEAT1--LTBP3', 'NEAT1--LTBP3', 'SMURF2--DDX5', 'SMURF2--DDX5', 'NEAT1--LTBP3', 'NEAT1--LTBP3', 'TCF7L1--TMSB10', 'LINC02643--NEBL', 'AL353138.1--PTCHD4', 'IL1RAPL1--AC005185.1', 'ME2--DCC', 'LINC02643--NEBL', 'LARP4B--TSPAN33', 'LINC02643--NEBL', 'TCF7L1--TMSB10', 'IL1RAPL1--AC005185.1', 'LARP4B--TSPAN33', 'PFKFB3--LINC02649', 'AC008875.3--SELENOP', 'DUXAP10--AL512310.2', 'AC008875.3--SELENOP', 'AL391840.3--SH3BGRL2', 'TCF7L1--AC022210.2', 'CLTC--VMP1', 'PMS2P11--CCDC146']"
gdsc,SW780,12,"['FGFR3--BAIAP2L1', 'AC124319.1--BAIAP2', 'GSN--NMRK1', 'RBM6--DOCK3', 'RABGAP1--PCSK5', 'CCDC18-AS1--EVI5', 'RBM6--DOCK3', 'PPP1R12A--AC027288.3', 'USP54--VSTM4', 'AC121154.1--AC108075.1', 'AL391840.3--SH3BGRL2', 'FCHSD2--AP002381.2']"
gdsc,SW403,5,"['DNAJC3--VWA8', 'TNIP2--NOP14-AS1', 'LRCH1--UBE2L5', 'PRSS3--AL356489.4', 'PRSS3--AL356489.4']"
gdsc,COLO-741,7,"['MAFK--SLC29A4', 'ST7--BAIAP2L1', 'MYO1D--ASIC2', 'ARHGAP10--EDNRA', 'SLC29A4--TRRAP', 'FHOD3--DLGAP1', 'EGFR--CUX1']"
gdsc,SNU-C1,25,"['CHD2--STARD9', 'APIP--SLC1A2', 'CYFIP1--USP3', 'RAB14--C5', 'CEMIP--AC015712.1', 'FAN1--CHRFAM7A', 'CEMIP--AC015712.1', 'CEMIP--AC015712.1', 'SPG11--DAPK2', 'PAQR5--IQCH', 'IQCH--FAM169B', 'SLC33A1--PLCH1', 'SLC33A1--PLCH1', 'CD44--PDHX', 'CD44--PDHX', 'CD44--PDHX', 'IQCH--FAM169B', 'CD44--PDHX', 'CD44--PDHX', 'CD44--PDHX', 'CD44--PDHX', 'LMNTD2--SLC1A2', 'CD44--PDHX', 'CD44--PDHX', 'IQCH--FAM169B']"
gdsc,SU-DHL-6,12,"['POU2F2--FRG1KP', 'PVT1--ZCCHC7', 'PVT1--ZCCHC7', 'PVT1--ZCCHC7', 'ICMT--SZRD1', 'MIR1204--ZCCHC7', 'ICMT--SZRD1', 'ZCCHC7--CBWD5', 'NUS1P1--AC114501.3', 'CBWD2--FBXO10', 'ICMT--SZRD1', 'FBXO10--CBWD5']"
gdsc,CL-40,8,"['AL353138.1--PTCHD4', 'AC004009.1--AC007130.1', 'AC004009.1--AC007130.1', 'AC004009.1--AC007130.1', 'AC004009.1--AC007130.1', 'AC004009.1--AC007130.1', 'KRT8--RPLP0', 'AC004009.1--AC007130.1']"
gdsc,DU-145,8,"['RTRAF--SLC25A21', 'UBE2L3--KRAS', 'LDLR--RPL31P11', 'CASP7--PLEKHS1', 'CASP7--PLEKHS1', 'AC245140.2--TKTL1', 'LDLR--AL451067.1', 'USP22--RN7SL2']"
gdsc,HT55,10,"['MAP7--MAP3K5', 'RABEP1--ALG14', 'RABEP1--ALG14', 'RABEP1--ALG14', 'RABEP1--ALG14', 'MRPL45P2--NRDC', 'VAPB--APCDD1L-DT', 'VAPB--APCDD1L-DT', 'MMP24OS--EDEM2', 'VAPB--APCDD1L-DT']"
gdsc,SW48,2,"['ARRDC1--EHMT1', 'ARRDC1--EHMT1']"
gdsc,U-266,14,"['ARFIP1--FNDC3B', 'COX16--TMEM106B', 'FNDC3B--ARFIP1', 'GAB1--AC097658.2', 'MED28--AC097512.1', 'ARFIP1--FNDC3B', 'MED28--AC097512.1', 'MED28--AC097512.1', 'AC097374.1--CYP4F32P', 'AC097374.1--CYP4F32P', 'TMEM212-AS1--PLD1', 'MED28--AC097512.1', 'MED28--AC097512.1', 'GAB1--USP38']"
gdsc,C2BBe1,6,"['AP003327.2--AP003500.1', 'AL391840.3--SH3BGRL2', 'PEX14--PTPN14', 'BRCA2--N4BP2L2', 'AP003327.2--AP003500.1', 'DPP3--SLC46A1']"
gdsc,SUIT-2,14,"['HNF4A--R3HDML', 'HNF4A--R3HDML', 'HNF4A--R3HDML', 'TUBA1C--ENDOV', 'REV3L--TRERF1', 'RNF41--AC121758.1', 'MCUB--TUBA1C', 'FNBP4--NUP160', 'MCUB--TUBA1A', 'AHCTF1--ZNF670-ZNF695', 'ARHGEF40--DHX30', 'ROCK2--E2F6', 'ARHGEF40--DHX30', 'AKAP13--AC044860.3']"
gdsc,SW1116,6,"['PFKFB3--LINC02649', 'AC025539.1--AC005699.1', 'PARGP1--MARCH8', 'AC104035.1--SLCO3A1', 'ZNF462--SMC2', 'USP22--RN7SL2']"
gdsc,HCC1187,26,"['CTNND1--SMTNL1', 'MIA2--GEMIN2', 'PUM1--TRERF1', 'KMT2E--LHFPL3', 'AGPAT5--MCPH1', 'PPFIBP1--SMCO2', 'SEC22B--NOTCH2', 'POFUT1--TM9SF4', 'PPFIBP1--SMCO2', 'PLXND1--TMCC1', 'PLXND1--TMCC1', 'PLXND1--TMCC1', 'PLXND1--TMCC1', 'PLXND1--TMCC1', 'KLK5--CDH23', 'ALDOA--SHISA9', 'LINC01535--EXOSC10', 'ANKRD40--ANKRD40CL', 'ALDOA--SHISA9', 'AKAP13--PDE8A', 'CTCF--SCUBE2', 'LINC01535--EXOSC10', 'SNHG3--FP236383.1', 'AC027682.4--AMPD3', 'CTCF--SCUBE2', 'SNHG3--FP236383.1']"
gdsc,KU812,8,"['UPF3A--CDC16', 'UPF3A--CDC16', 'BCR--ABL1', 'ABL1--BCR', 'ABL1--BCR', 'CDK13--SUGCT', 'AL391840.3--SH3BGRL2', 'RPL13A--FLT3LG']"
