gene_fusion,count,cell_lines_found_in
FHOD3--DLGAP1,1,['COLO741_SKIN']
MAFK--SLC29A4,1,['COLO741_SKIN']
MYO1D--ASIC2,1,['COLO741_SKIN']
SLC29A4--TRRAP,1,['COLO741_SKIN']
APIP--SLC1A2,1,['SNUC1_LARGE_INTESTINE']
CYFIP1--USP3,1,['SNUC1_LARGE_INTESTINE']
CHD2--STARD9,1,['SNUC1_LARGE_INTESTINE']
FAN1--CHRFAM7A,1,['SNUC1_LARGE_INTESTINE']
PAQR5--IQCH,1,['SNUC1_LARGE_INTESTINE']
SPG11--DAPK2,1,['SNUC1_LARGE_INTESTINE']
PVT1--ZCCHC7,1,['SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE']
ICMT--SZRD1,1,['SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE']
UBE2L3--KRAS,1,['DU145_PROSTATE']
LDLR--RPL31P11,1,['DU145_PROSTATE']
MAP7--MAP3K5,1,['HT55_LARGE_INTESTINE']
RABEP1--ALG14,1,['HT55_LARGE_INTESTINE']
COX16--TMEM106B,1,['U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE']
ARFIP1--FNDC3B,1,['U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE']
FNDC3B--ARFIP1,1,['U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE']
HNF4A--R3HDML,1,['SUIT2_PANCREAS']
TUBA1C--ENDOV,1,['SUIT2_PANCREAS']
ROCK2--E2F6,1,['SUIT2_PANCREAS']
CTNND1--SMTNL1,1,['HCC1187_BREAST']
PUM1--TRERF1,1,['HCC1187_BREAST']
AGPAT5--MCPH1,1,['HCC1187_BREAST']
CTCF--SCUBE2,1,['HCC1187_BREAST']
POFUT1--TM9SF4,1,['HCC1187_BREAST']
SEC22B--NOTCH2,1,['HCC1187_BREAST']
ALDOA--SHISA9,1,['HCC1187_BREAST']
KLK5--CDH23,1,['HCC1187_BREAST']
NBPF26--AC239809.1,0,[]
RBM12B--RAD54B,0,[]
ATP5F1A--SNTG1,0,[]
TCF7L2--AL158212.1,0,[]
PPP4R3A--HEATR3,0,[]
JADE2--UBE2B,0,[]
CU104787.1--BAGE2,0,[]
